what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1193078362812
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1193078362812
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1193078362812
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1193078362812
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1193078362812
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1193078362812
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1193078362812
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1193078362812
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1193078362812
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1193078362828
os,sysinfo,,,"win32",1193078362828
arch,sysinfo,,,"x86",1193078362828
ws,sysinfo,,,"win32",1193078362828
locale,sysinfo,,,"en_US",1193078362828
processors,sysinfo,,,"1",1193078362828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1193078362828
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1193078362828
java.specification.name,sysinfo,,,"Java Platform API Specification",1193078362828
java.specification.vendor,sysinfo,,,"Oracle Corporation",1193078362828
java.specification.version,sysinfo,,,"1.7",1193078362828
java.vendor,sysinfo,,,"Oracle Corporation",1193078362828
java.version,sysinfo,,,"1.7.0_51",1193078362828
java.vm.info,sysinfo,,,"mixed mode, sharing",1193078362828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1193078362828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1193078362828
